,DATE,INDUSTRY_CODE,EMPLOYMENT,SIC_2digit,SIC_3digit,SIC_4digit,SIC_5digit,IS8_Final_Flag,Frontier_Final_Flag
495,2015,55201,24000,55,552,5520,55201,,
496,2015,55202,2500,55,552,5520,55202,,
497,2015,55209,14000,55,552,5520,55209,,
498,2015,55300,35000,55,553,5530,55300,,
499,2015,55900,9000,55,559,5590,55900,,
500,2015,56101,437000,56,561,5610,56101,,
501,2015,56102,296000,56,561,5610,56102,,
502,2015,56103,201000,56,561,5610,56103,,
503,2015,56210,133000,56,562,5621,56210,,
504,2015,56290,116000,56,562,5629,56290,,
505,2015,56301,88000,56,563,5630,56301,,
506,2015,56302,436000,56,563,5630,56302,,
507,2015,58110,26000,58,581,5811,58110,Creative Industries,
508,2015,58110,26000,58,581,5811,58110,Digital and Technology,
509,2015,58120,1000,58,581,5812,58120,Creative Industries,
510,2015,58120,1000,58,581,5812,58120,Digital and Technology,
511,2015,58130,39000,58,581,5813,58130,Creative Industries,
512,2015,58130,39000,58,581,5813,58130,Digital and Technology,
513,2015,58141,3000,58,581,5814,58141,Creative Industries,
514,2015,58141,3000,58,581,5814,58141,Digital and Technology,
515,2015,58142,38000,58,581,5814,58142,Creative Industries,
516,2015,58142,38000,58,581,5814,58142,Digital and Technology,
517,2015,58190,20000,58,581,5819,58190,Creative Industries,
518,2015,58190,20000,58,581,5819,58190,Digital and Technology,
519,2015,58210,1500,58,582,5821,58210,Creative Industries,
520,2015,58210,1500,58,582,5821,58210,Digital and Technology,
521,2015,58290,11000,58,582,5829,58290,Creative Industries,
522,2015,58290,11000,58,582,5829,58290,Digital and Technology,
523,2015,59111,23000,59,591,5911,59111,Creative Industries,Film and TV
524,2015,59111,23000,59,591,5911,59111,Creative Industries,Film and TV
525,2015,59112,5000,59,591,5911,59112,Creative Industries,Film and TV
526,2015,59112,5000,59,591,5911,59112,Creative Industries,Film and TV
527,2015,59113,30000,59,591,5911,59113,Creative Industries,Film and TV
528,2015,59113,30000,59,591,5911,59113,Creative Industries,Film and TV
529,2015,59120,13000,59,591,5912,59120,Creative Industries,Film and TV
530,2015,59120,13000,59,591,5912,59120,Creative Industries,Film and TV
531,2015,59131,5000,59,591,5913,59131,Creative Industries,Film and TV
532,2015,59131,5000,59,591,5913,59131,Creative Industries,Film and TV
533,2015,59132,700,59,591,5913,59132,Creative Industries,Film and TV
534,2015,59132,700,59,591,5913,59132,Creative Industries,Film and TV
535,2015,59133,700,59,591,5913,59133,Creative Industries,Film and TV
536,2015,59133,700,59,591,5913,59133,Creative Industries,Film and TV
