"date","n","avg"
2018-02-05,3530,1919.57142857143
2018-02-06,2980,1940.57142857143
2018-02-07,3029,2022.14285714286
2018-02-08,2572,2048
2018-02-09,2172,2040.42857142857
2018-02-10,67,2050
2018-02-11,2,2050.28571428571
2018-02-12,3517,2048.42857142857
2018-02-13,2898,2036.71428571429
2018-02-14,2738,1995.14285714286
2018-02-15,2385,1968.42857142857
2018-02-16,2185,1970.28571428571
2018-02-17,2,1961
2018-02-19,3185,1913.28571428571
2018-02-20,2257,1821.71428571429
2018-02-21,2882,1842.28571428571
2018-02-22,2641,1878.85714285714
2018-02-23,2560,1932.42857142857
2018-02-25,2,1932.42857142857
2018-02-26,3074,1916.57142857143
2018-02-27,2626,1969.28571428571
2018-02-28,2605,1929.71428571429
2018-03-01,554,1631.57142857143
2018-03-02,306,1309.57142857143
2018-03-05,3985,1439.42857142857
2018-03-06,3140,1512.85714285714
2018-03-07,2904,1555.57142857143
2018-03-08,2557,1841.71428571429
2018-03-09,3027,2230.42857142857
2018-03-10,1952,2509.28571428571
2018-03-11,1275,2691.42857142857
2018-03-12,1892,2392.42857142857
2018-03-13,2651,2322.57142857143
2018-03-14,2634,2284
2018-03-15,2686,2302.42857142857
2018-03-16,2735,2260.71428571429
2018-03-17,1,1982
2018-03-19,2731,1919.71428571429
2018-03-20,2947,1962
2018-03-21,2813,1987.57142857143
2018-03-22,2905,2018.85714285714
2018-03-23,2451,1978.28571428571
2018-03-24,168,2002.14285714286
2018-03-26,3111,2056.42857142857
2018-03-27,3057,2072.14285714286
2018-03-28,2920,2087.42857142857
2018-03-29,3110,2116.71428571429
2018-03-30,181,1792.42857142857
2018-03-31,171,1792.85714285714
2018-04-01,21,1795.85714285714
2018-04-03,3680,1440.42857142857
2018-04-04,3662,1546.42857142857
2018-04-05,3323,1576.85714285714
2018-04-06,2343,1885.71428571429
2018-04-07,1115,2020.57142857143
2018-04-09,2108,2318.71428571429
2018-04-10,2886,2205.28571428571
2018-04-11,2813,2084
2018-04-12,2497,1966
2018-04-13,2421,1977.14285714286
2018-04-14,2,1818.14285714286
2018-04-15,1,1818.28571428571
2018-04-16,2895,1930.71428571429
2018-04-17,3023,1950.28571428571
2018-04-18,2680,1931.28571428571
2018-04-19,2403,1917.85714285714
2018-04-20,2243,1892.42857142857
2018-04-23,2962,1901.57142857143
2018-04-24,2616,1843.42857142857
2018-04-25,2828,1864.57142857143
2018-04-26,2449,1871.14285714286
2018-04-27,2496,1907.28571428571
2018-04-28,1190,2077.28571428571
2018-04-29,1,2077.42857142857
2018-04-30,2403,1997.57142857143
2018-05-01,2858,2032.14285714286
2018-05-02,2678,2010.71428571429
2018-05-03,2624,2035.71428571429
2018-05-04,2668,2060.28571428571
2018-05-06,235,1923.71428571429
2018-05-07,230,1613.28571428571
2018-05-08,2685,1588.57142857143
2018-05-09,2635,1582.42857142857
2018-05-10,2555,1572.57142857143
2018-05-11,2532,1553.14285714286
2018-05-12,1201,1724.71428571429
2018-05-14,2610,2031.14285714286
2018-05-15,2729,2037.42857142857
2018-05-16,3271,2128.28571428571
2018-05-17,2795,2162.57142857143
2018-05-18,2233,2119.85714285714
2018-05-19,17,1950.71428571429
2018-05-20,2,1951
2018-05-21,3098,2020.71428571429
2018-05-22,2798,2030.57142857143
2018-05-23,2429,1910.28571428571
2018-05-24,3013,1941.42857142857
2018-05-25,2406,1966.14285714286
2018-05-26,1512,2179.71428571429
2018-05-28,2,1737.14285714286
